ds,yhat,yhat_lower,yhat_upper
2014-01-31,1651.001358177755,1193.1443656631805,2102.572943882397
2014-02-28,1916.7189243375299,1440.3434622426294,2389.248929674897
2014-03-31,1935.6331048868233,1482.2170114515106,2358.3592971568187
2014-04-30,1757.331955651529,1309.5966375673365,2231.49525270662
2014-05-31,1710.4849177508202,1251.2723814488952,2135.1602118348574
2014-06-30,1568.9354108892408,1125.1846459030974,2038.7866208008452
2014-07-31,1534.9517180209912,1069.0705550820853,1960.9339525256946
2014-08-31,1591.3550384610026,1130.0352921201484,2052.6753802379185
2014-09-30,1900.007600667348,1402.4974115713205,2341.633813817775
2014-10-31,2201.0848337150164,1759.929126286007,2704.4950437835414
2014-11-30,1972.4917017866708,1530.5690002057183,2393.636377951036
2014-12-31,2181.879319585529,1728.1610740677459,2618.126678255504
2015-01-31,2202.058081414284,1733.085011061343,2643.874931875592
2015-02-28,1720.4980225416618,1295.351779660995,2161.7705020445883
2015-03-31,1797.907595145361,1368.1391639228523,2249.746358054926
2015-04-30,1614.488853523713,1148.0651317805216,2080.394120441735
2015-05-31,1687.3977656113993,1216.2508820999917,2166.7461326263633
2015-06-30,1610.5322084219383,1160.6621909645426,2047.7015957940266
2015-07-31,1629.4421826803657,1191.3735051853337,2109.6483076900304
2015-08-31,1665.2981817402067,1212.354152560678,2112.206014780948
2015-09-30,1908.6333487368072,1444.9816868464688,2342.7793215971296
2015-10-31,1888.7222832814246,1394.0672489432388,2350.1803978783328
2015-11-30,1973.7576536335584,1524.3249952035655,2407.732828408729
2015-12-31,1947.6650407664984,1523.935961662164,2406.3234383628246
2016-01-31,2755.2827800320047,2315.5926133894345,3209.934199577667
2016-02-29,2203.4166430481173,1772.1228033593052,2632.8529807442214
2016-03-31,2126.7325043308406,1661.4864190716175,2593.6231421075645
2016-04-30,1972.1838319296292,1531.4194485571793,2417.555258117204
2016-05-31,1691.531698574197,1246.7203210611426,2137.791680349233
2016-06-30,1417.3302723668512,953.7101548495071,1880.7562493381727
2016-07-31,1269.9261835495456,840.3871845012795,1740.7550330364197
2016-08-31,1357.3314408277583,903.3098424647811,1816.3166122171456
2016-09-30,1785.3682835529685,1350.626690652127,2225.9099283899986
2016-10-31,2743.221392284618,2296.385883127716,3190.220508497387
2016-11-30,1903.5775872900285,1428.805300817377,2348.6511857605487
2016-12-31,2599.8554097918964,2179.0147833064475,3056.6659040723257
2017-01-31,1024.8882853674886,564.8662245615354,1452.4134908796182
2017-02-28,2025.840470436976,1557.7223848396873,2496.979314391636
2017-03-31,1993.4281253298982,1557.4478237512028,2459.026383373424
2017-04-30,1824.744729061377,1356.294871235992,2273.316819809459
2017-05-31,1659.9905925911296,1222.3026044157157,2145.4536242878407
2017-06-30,1452.6113267037322,1029.7960848958096,1903.7134658424916
2017-07-31,1363.1618946026842,928.3782757569599,1831.601248465086
2017-08-31,1436.7598268973834,984.1997865961332,1882.6590971989012
2017-09-30,1807.045846172323,1341.2139822788158,2249.487884439039
2017-10-31,2434.157128977912,2008.2828063078061,2890.506981464018
2017-11-30,1897.263432306636,1418.8854724924302,2356.6419876637556
2017-12-31,2347.436590197262,1899.7546482255277,2791.307694800821
2018-01-31,1573.1903081706196,1112.923967573572,2054.755679466863
2018-02-28,1838.91073990772,1409.2850952834656,2279.453033828251
2018-03-31,1857.8280930626743,1407.8050995217186,2299.7474409905817
2018-04-30,1679.530014081971,1192.31336413886,2119.2368607395824
2018-05-31,1632.6861487882434,1196.1269310595978,2094.281244827082
2018-06-30,1491.1397121825653,1042.2570902669663,1953.5116647028515
2018-07-31,1457.1591919174648,1019.7613859972294,1900.2211857997297
2018-08-31,1513.5656849584075,1075.364644268677,1988.024075924806
2018-09-30,1822.221317418032,1324.9303147397407,2294.1744698172174
2018-10-31,2123.3017230622095,1660.0459091771925,2551.767525163017
2018-11-30,1894.7116613896062,1445.783894457013,2359.852724140794
2018-12-31,2104.102451787947,1625.7344074346377,2572.6008458438337
2019-01-31,2124.2843862146337,1634.4489221877866,2551.7107462594354
2019-02-28,1642.7271929042074,1195.9778840576516,2074.23297631694
2019-03-31,1720.1399380981425,1257.908718923159,2153.1194521403304
2019-04-30,1536.7242667233963,1093.5890716936674,1976.8765244315377
2019-05-31,1609.6363513974043,1149.990698438454,2059.967082015162
2019-06-30,1532.773864458251,1082.061064340982,1993.7195533290987
2019-07-31,1551.6870113071152,1085.4351160030083,2012.3941806470548
2019-08-31,1587.546182960647,1132.9354318695998,2052.273766310541
2019-09-30,1830.8844202068253,1358.8836757794188,2275.833676091641
2019-10-31,1810.97652734396,1385.825346269002,2254.564710872765
2019-11-30,1896.0149679453946,1428.283127467907,2346.810684134554
2019-12-31,1869.925527672963,1432.394934354643,2321.3388936381084
2020-01-31,2677.546439533673,2231.5511334342204,3165.3670046054585
2020-02-29,2125.6832704520198,1700.2805218874676,2589.4284969145356
2020-03-31,2049.0023043243627,1602.4524516655865,2521.5734574667927
2020-04-30,1894.4567021651362,1445.1095141931671,2357.450290136698
2020-05-31,1613.8077413949386,1140.1542630317956,2068.463698596218
2020-06-30,1339.6093854257042,912.9524910985397,1776.632421713951
2020-07-31,1192.208469187508,760.7249439965938,1646.3321503860357
2020-08-31,1279.6168990447422,840.0662703653423,1728.529280211971
2020-09-30,1707.6568119962963,1243.739684789875,2178.8255802798294
2020-10-31,2665.513093299504,2188.2640167322575,3121.034312210249
